Species,foraged,Species_mean
Hamelia_patens,0,-0.062500915
Hamelia_xerocarpa,0,-0.002541369
Hampea_appendiculata,0,-0.191428645
Heisteria_concinna,0,-0.01725943
Hernandia_didymantha,0,-0.258381993
Hernandia_stenura,0,-0.187943305
Herrania_purpurea,0,-0.034976303
Hura_crepitans,0,-0.046233868
Hyeronima_alchorneoides,1,-0.059451808
Hymenolobium_mesoamericanum,0,-0.098550063
Inga_acuminata,0,-0.053074972
Inga_alba,1,-0.03420588
Inga_cocleensis,0,-0.030532905
Inga_leiocalycina,0,-0.154706129
Inga_ruiziana,0,-0.161722682
Inga_sertulifera,0,-0.038825315
Inga_thibaudiana,1,0.295933403
Iriartea_deltoidea,1,0.333447401
Ixora_nicaraguensis,0,-0.047738246
Jacaranda_copaia,1,0.210796623
Jacaratia_dolichaula,0,-0.126932684
Lacistema_aggregatum,0,-0.088949982
Lacmellea_panamensis,1,0.30162266
Lacunaria_panamensis,0,-0.040068198
Laetia_procera,0,-0.015710132
Lecythis_ampla,0,-0.101326071
Lozania_pittieri,0,-0.000566371
Luehea_seemannii,0,-0.202507559
Mabea_occidentalis,0,-0.113654748
Maquira_costaricana,0,-0.022485934
Maranthes_panamensis,0,-0.021663326
Meliosma_donnell-smithii,0,-0.221233723
Miconia_affinis,0,-0.011537139
Miconia_appendiculata,0,-0.014810879
Miconia_dorsiloba,0,-0.019916841
Miconia_multispicata,0,-0.072731397
Miconia_sp,0,-0.014553545
Minquartia_guianensis,1,0.831690493
Mortoniodendron_guatemalense,0,-0.017857678
Naucleopsis_naga,0,-0.208008268
Neea_amplifolia,0,-0.130435349
Neea_psychotriodes,0,-0.052982668
Neea_sp,0,-0.045260266
Ocotea_atirrensis,0,-0.019972652
Ocotea_cernua,1,0.158735077
Ocotea_dendrodaphne,0,-0.030142582
Ocotea_hartshorniana,1,0.422926009
Ocotea_meziana,0,-0.029221166
Ocotea_mollifolia,0,-0.037224027
Otoba_novogranatensis,0,-0.078426671
Pachira_aquatica,1,0.777801369
Paullinia_pinnata,0,-0.031437373
Pentaclethra_macroloba,1,-0.233137196
Pentagonia_donnell-smithii,0,-0.251547901
Perebea_angustifolia,0,-0.012127103
Peschiera_arborea,1,0.165862397
Posoqueria_grandiflora,0,-0.130041175
Posoqueria_latifolia,1,0.420261403
Potalia_amara,0,-0.009285528
Pourouma_bicolor,0,-0.055696215
Pouteria_campechiana,0,-0.071985037
Pouteria_glomerulata,1,0.241490466
Pouteria_sp,1,0.297803562
Pouteria_torta,1,0.241984133
Pradosia_atroviolacea,0,-0.056278888
Prioria_copaifera,0,-0.058044377
Protium_costaricense,0,-0.021910731
Protium_glabrum,0,-0.02184853
Protium_panamense,0,-0.321787819
Protium_pittieri,0,-0.037753652
Protium_sp,0,-0.067350537
Psychothria_graciliflora,0,-6.86E-05
Psychotria_chagrensis,0,-0.023040317
Psychotria_chiapensis,0,-0.001089016
Psychotria_panamensis,0,-0.055126341
Psychotria_sp,0,-0.055237686
Pterocarpus_officinalis,1,0.087380654
Pterocarpus_rohrii,1,0.008533356
Quararibea_parvifolia,0,-0.016713355
Quararibea_pumila,0,-0.011681202
Randia_genipoides,0,-0.037286404
Randia_grandifolia,0,-0.062575591
Rauvolfia_purpurascens,1,0.155922414
Rhodostemonodaphne_kunthiana,1,0.245873774
Richeria_dressleri,1,-0.017742119
Rinorea_deflexiflora,1,0.468391945
Rollinia_pittieri,0,-0.172724047
Sacoglottis_trichogyna,1,0.169522679
