Family,Genus,Species,TAG,DBH,Colony,Foraged,Distance,Succession
leguminosae,lonchocarpus,Lonchocarpus_oliganthus,4,26.9,1,0,13.14623696,NA
araliaceae,dendropanax,Dendropanax_arboreus,7,35.3,1,0,37.60590058,NA
myristicaceae,compsoneura,Compsoneura_sprucei,9,8.2,1,1,44.61462979,NA
apocynaceae,peschiera,Peschiera_arborea,10,61.2,1,1,4.326611117,NA
capparaceae,capparis,Capparis_pittieri,11,13.2,1,0,13.44573265,NA
capparaceae,capparis,Capparis_pittieri,12,17.3,1,0,16.97437295,NA
arecaceae,welfia,Welfia_regia,14,16.2,1,0,16.10693869,NA
rubiaceae,warscewiczia,Warscewiczia_coccinea,18,23.5,9,0,3.728946127,NA
meliaceae,guarea,Guarea_rhopalocarpa,20,24,9,0,13.34425121,NA
leguminosae,andira,Andira_inermis,21,23.9,9,1,15.54289044,n
rubiaceae,posoqueria,Posoqueria_latifolia,24,15.1,9,0,9.613957812,NA
rubiaceae,simira,Simira_maxonii,25,46.9,9,0,22.1701996,NA
malvaceae,luehea,Luehea_seemannii,26,54,9,0,34.37773304,c
sabiaceae,meliosma,Meliosma_donnell-smithii,30,19,9,0,37.4555756,NA
lauraceae,ocotea,Ocotea_hartshorniana,31,35,9,0,47.98565135,NA
leguminosae,inga,Inga_paterno,34,34.5,7,0,21.07448336,NA
elaeocarpaceae,sloanea,Sloanea_geniculata,35,37,7,1,16.79413529,NA
rubiaceae,simira,Simira_maxonii,36,50.4,7,1,6.176268749,NA
leguminosae,erythrina,Erythrina_cochleata,37,64,7,0,22.63893921,NA
leguminosae,pentaclethra,Pentaclethra_macroloba,38,74.7,5,0,27.58972215,NA
leguminosae,balizia,Balizia_elegans,39,77,5,0,27.96058505,NA
moraceae,naucleopsis,Naucleopsis_naga,41,24.2,5,0,22.7737994,NA
leguminosae,pentaclethra,Pentaclethra_macroloba,42,69,7,0,25.99819189,NA
sapotaceae,pouteria,Pouteria_glomerulata,44,46.5,5,0,11.30630965,NA
myrsinaceae,ardisia,Ardisia_granatensis,45,21.7,5,0,18.29810503,NA
myristicaceae,virola,Virola_koschnyi,46,84,5,0,30.13965973,NA
meliaceae,guarea,Guarea_rhopalocarpa,48,23.5,5,0,12.93678941,NA
apocynaceae,rauvolfia,Rauvolfia_purpurascens,49,41.3,5,1,18.33682772,NA
phyllanthaceae,hyeronima,Hyeronima_alchorneoides,50,79.5,5,0,28.24808471,c
myristicaceae,virola,Virola_koschnyi,53,66.5,8,0,14.12183909,NA
hernandiaceae,hernandia,Hernandia_stenura,54,49.8,6,0,32.40462143,NA
burseraceae,protium,Protium_panamense,55,30.5,6,0,33.92255786,n
burseraceae,protium,Protium_panamense,55,30.5,8,0,10.67484376,n
leguminosae,pterocarpus,Pterocarpus_rohrii,56,22.8,4,0,44.06043236,n
leguminosae,pterocarpus,Pterocarpus_rohrii,56,22.8,6,0,29.07223024,n
leguminosae,pterocarpus,Pterocarpus_rohrii,56,22.8,8,0,22.12349473,n
moraceae,clarisia,Clarisia_mexicana,57,71.5,6,1,18.38318487,NA
phyllanthaceae,richeria,Richeria_dressleri,59,63,6,0,23.61314063,NA
rubiaceae,pentagonia,Pentagonia_donnell-smithii,62,10,6,0,29.01684123,NA
rubiaceae,warscewiczia,Warscewiczia_coccinea,63,27.6,4,0,30.8087731,NA
rubiaceae,ocotea,Ocotea_meziana,64,24.1,4,0,31.95776119,NA
rubiaceae,psychotria,Psychotria_panamensis,65,4.4,9,0,13.85235942,NA
sapotaceae,pouteria,Pouteria_torta,66,37.5,4,1,33.08618141,NA
leguminosae,andira,Andira_inermis,67,29.5,4,0,28.67874649,n
burseraceae,protium,Protium_panamense,69,55,9,0,17.6690338,n
sabiaceae,meliosma,Meliosma_donnell-smithii,71,19.4,7,0,19.79776357,NA
sapotaceae,chrysophyllum,Chrysophyllum_venezuelanense,73,16.5,7,0,36.90621393,NA
sapotaceae,chrysophyllum,Chrysophyllum_venezuelanense,73,16.5,9,0,52.93771713,NA
arecaceae,welfia,Welfia_regia,75,19.3,5,0,26.50468151,NA
burseraceae,protium,Protium_costaricense,76,11.3,7,0,49.79524703,n
leguminosae,swartzia,Swartzia_simplex,78,10.4,4,0,16.38026251,n
capparaceae,capparis,Capparis_pittieri,79,14.2,4,0,17.62512411,NA
boraginaceae,cordia,Cordia_alliodora,80,54,5,0,14.16646368,c
malvaceae,ceiba,Ceiba_pentandra,92,83.5,4,1,41.15497661,NA
myristicaceae,virola,Virola_koschnyi,94,68,1,1,18.17549919,NA
sapotaceae,chrysophyllum,Chrysophyllum_venezuelanense,96,13.3,8,0,37.59964414,NA
moraceae,sorocea,Sorocea_pubivena,100,17.5,6,0,6.812020081,NA
melastomataceae,miconia,Miconia_multispicata,101,45.1,7,0,48.9307815,NA
burseraceae,protium,Protium_panamense,119,47.5,1,0,32.46422983,n
apocynaceae,lacmellea,Lacmellea_panamensis,120,47.5,1,1,40.2432501,n
moraceae,brosimum,Brosimum_lactescens,121,23.1,1,0,39.9062679,NA
moraceae,castilla,Castilla_elastica,124,47.5,4,0,16.6251406,NA
malvaceae,goethalsia,Goethalsia_meiantha,126,67.5,10,0,14.44008656,NA
leguminosae,stryphnodendron,Stryphnodendron_microstachyum,127,69.5,8,0,27.05133359,NA
leguminosae,stryphnodendron,Stryphnodendron_microstachyum,127,69.5,10,0,2.902447243,NA
leguminosae,pentaclethra,Pentaclethra_macroloba,129,69.9,4,0,61.8528908,NA
arecaceae,bactris,Bactris_coloradensis,131,5.7,1,0,26.96105562,NA
leguminosae,macrolobium,Macrolobium_costaricense,135,3.7,4,0,22.47363344,NA
leguminosae,macrolobium,Macrolobium_costaricense,135,3.7,8,0,28.64565009,NA
humiriaceae,sacoglottis,Sacoglottis_trichogyna,140,52.5,7,1,9.555531516,NA
leguminosae,pentaclethra,Pentaclethra_macroloba,148,61.5,4,0,32.15042924,NA
arecaceae,welfia,Welfia_regia,154,18.9,6,0,30.73556196,NA
rubiaceae,simira,Simira_maxonii,155,52.5,4,0,27.87128451,NA
rubiaceae,simira,Simira_maxonii,155,52.5,8,0,33.12104904,NA
combretaceae,terminalia,Terminalia_oblonga,156,97,4,1,9.242391465,NA
rubiaceae,simira,Simira_maxonii,163,41.8,9,0,4.911539809,NA
leguminosae,stryphnodendron,Stryphnodendron_microstachyum,169,58.5,7,1,25.81986392,NA
leguminosae,stryphnodendron,Stryphnodendron_microstachyum,171,53.9,6,0,33.80494314,NA
leguminosae,stryphnodendron,Stryphnodendron_microstachyum,172,56.5,6,0,29.59032604,NA
meliaceae,cedrela,Cedrela_odorata,186,58.5,8,1,26.63806373,NA
meliaceae,cedrela,Cedrela_odorata,186,58.5,10,1,7.164949407,NA
ulmaceae,ampelocera,Ampelocera_macrocarpa,187,97,4,0,39.41559336,NA
annonaceae,rollinia,Rollinia_pittieri,191,65.5,4,0,49.31343123,NA
annonaceae,rollinia,Rollinia_pittieri,191,65.5,8,0,36.51304191,NA
meliaceae,cedrela,Cedrela_odorata,192,75.5,5,0,34.58706633,NA
combretaceae,terminalia,Terminalia_amazonia,193,4.1,4,0,3.72484899,c
annonaceae,guatteria,Guatteria_aeruginosa,195,30.8,5,0,24.69597263,NA
leguminosae,lonchocarpus,Lonchocarpus_oliganthus,196,25.5,10,1,22.53127826,NA
euphorbiaceae,sapium,Sapium_glandulosum,197,53.6,4,1,15.02011984,NA
rhizophoraceae,cassipourea,Cassipourea_elliptica,198,17.4,4,0,15.70345822,n
rubiaceae,genipa,Genipa_americana,199,63.5,1,0,19.34669433,NA
rubiaceae,simira,Simira_maxonii,203,41.8,4,0,22.47533092,NA
rubiaceae,simira,Simira_maxonii,206,48,4,1,24.28173182,NA
rubiaceae,simira,Simira_maxonii,206,48,8,0,40.11793576,NA
rubiaceae,simira,Simira_maxonii,207,35.2,4,0,42.40381115,NA
rubiaceae,simira,Simira_maxonii,207,35.2,8,1,19.4712891,NA
rubiaceae,simira,Simira_maxonii,210,71,5,0,10.46896507,NA
sterculiaceae,herrania,Herrania_purpurea,213,5.2,1,0,7.706454871,c
leguminosae,hymenolobium,Hymenolobium_mesoamericanum,218,4.2,9,0,31.27070935,NA
boraginaceae,cordia,Cordia_alliodora,220,38.5,9,0,25.76932363,c
leguminosae,pentaclethra,Pentaclethra_macroloba,221,82.5,5,0,30.59389353,NA
leguminosae,pentaclethra,Pentaclethra_macroloba,221,82.5,7,0,33.76383672,NA
leguminosae,stryphnodendron,Stryphnodendron_microstachyum,223,88.1,5,0,15.61234889,NA
leguminosae,stryphnodendron,Stryphnodendron_microstachyum,223,88.1,10,1,13.9113371,NA
boraginaceae,cordia,Cordia_alliodora,232,23,6,0,33.64266307,c
leguminosae,pterocarpus,Pterocarpus_rohrii,233,23.5,5,0,11.75673757,n
moraceae,castilla,Castilla_elastica,235,45.8,5,0,26.89662599,NA
leguminosae,hymenolobium,Hymenolobium_mesoamericanum,236,6.4,7,0,34.45664883,NA
leguminosae,pentaclethra,Pentaclethra_macroloba,238,46.5,7,0,33.14222801,NA
leguminosae,inga,Inga_paterno,240,24.5,8,0,27.48547233,NA
leguminosae,inga,Inga_paterno,240,24.5,10,0,1.918593235,NA
hernandiaceae,hernandia,Hernandia_stenura,241,36.5,5,0,28.63762106,NA
leguminosae,pentaclethra,Pentaclethra_macroloba,243,96.6,5,0,31.10400902,NA
sapotaceae,chrysophyllum,Chrysophyllum_venezuelanense,248,11.3,5,0,21.06230278,NA
leguminosae,pentaclethra,Pentaclethra_macroloba,250,61,5,1,24.87466364,NA
moraceae,naucleopsis,Naucleopsis_naga,252,21.9,5,0,18.82545706,NA
rhamnaceae,colubrina,Colubrina_spinosa,257,19.8,8,0,32.81223475,NA
rhamnaceae,colubrina,Colubrina_spinosa,257,19.8,10,0,7.927937941,NA
boraginaceae,cordia,Cordia_alliodora,258,35.9,6,0,31.79906743,c
olacaceae,minquartia,Minquartia_guianensis,259,2.7,8,1,73.8324604,NA
leguminosae,dussia,Dussia_macroprophyllata,261,54.5,5,0,13.49204833,NA
leguminosae,pterocarpus,Pterocarpus_rohrii,263,50,6,0,38.1075147,n
leguminosae,hymenolobium,Hymenolobium_mesoamericanum,266,27.6,4,0,41.74424152,NA
boraginaceae,cordia,Cordia_alliodora,267,32,6,0,44.89912633,c
violaceae,rinorea,Rinorea_deflexiflora,271,13.5,4,0,46.27968237,NA
violaceae,rinorea,Rinorea_deflexiflora,271,13.5,8,0,29.17179613,NA
violaceae,rinorea,Rinorea_deflexiflora,271,13.5,10,0,16.44241466,NA
boraginaceae,cordia,Cordia_alliodora,272,36.4,7,1,45.50855844,c
leguminosae,pterocarpus,Pterocarpus_rohrii,273,7.8,7,0,44.84434619,n
leguminosae,pterocarpus,Pterocarpus_rohrii,274,42.4,5,0,9.916062288,n
rubiaceae,pentagonia,Pentagonia_donnell-smithii,275,7.2,5,0,18.64903268,NA
leguminosae,pterocarpus,Pterocarpus_rohrii,276,27.4,5,1,13.85351841,n
leguminosae,pterocarpus,Pterocarpus_rohrii,284,65.8,5,0,21.42435126,n
phyllanthaceae,hyeronima,Hyeronima_alchorneoides,285,76,5,1,2.640585985,c
leguminosae,pentaclethra,Pentaclethra_macroloba,286,57.8,7,1,31.78324643,NA
leguminosae,lonchocarpus,Lonchocarpus_oliganthus,287,23.8,5,1,14.21576904,NA
leguminosae,swartzia,Swartzia_cubensis,289,79.5,8,0,9.506475122,NA
boraginaceae,cordia,Cordia_alliodora,293,43,7,1,35.93301482,c
leguminosae,pentaclethra,Pentaclethra_macroloba,295,57,8,1,16.33447671,NA
moraceae,naucleopsis,Naucleopsis_naga,296,17.9,8,0,32.05873858,NA
moraceae,naucleopsis,Naucleopsis_naga,296,17.9,10,0,7.781953482,NA
rubiaceae,pentagonia,Pentagonia_donnell-smithii,300,9.5,6,0,26.83148773,NA
elaeocarpaceae,sloanea,Sloanea_laevigata,301,7.5,7,0,26.61732785,NA
leguminosae,pentaclethra,Pentaclethra_macroloba,323,55,9,0,11.90366191,NA
leguminosae,pterocarpus,Pterocarpus_rohrii,324,42.5,9,0,17.83962222,n
hernandiaceae,hernandia,Hernandia_didymantha,327,67,9,0,21.80606873,NA
rubiaceae,simira,Simira_maxonii,330,34.7,9,0,15.35395592,NA
leguminosae,inga,Inga_paterno,332,49.1,9,1,24.22904714,NA
leguminosae,swartzia,Swartzia_simplex,333,10.1,9,0,24.77883031,n
leguminosae,dussia,Dussia_tessmannii,334,13.9,7,0,18.47104477,NA
boraginaceae,cordia,Cordia_alliodora,336,36.9,9,0,33.72208058,c
boraginaceae,cordia,Cordia_alliodora,337,37.9,9,0,36.64971322,c
leguminosae,pterocarpus,Pterocarpus_officinalis,338,43,9,1,39.6388489,NA
myrsinaceae,parathesis,Parathesis_chrysophylla,340,19.5,5,0,26.67441613,NA
boraginaceae,cordia,Cordia_alliodora,345,45,9,0,38.75773302,c
rubiaceae,warscewiczia,Warscewiczia_coccinea,346,24.1,9,0,11.59311754,NA
annonaceae,guatteria,Guatteria_diospyriodes,347,14.2,5,0,20.82831434,NA
leguminosae,pentaclethra,Pentaclethra_macroloba,348,73,9,0,4.853784756,NA
rubiaceae,simira,Simira_maxonii,349,44,9,0,14.10452544,NA
violaceae,rinorea,Rinorea_deflexiflora,351,15.3,1,1,14.86336172,NA
leguminosae,pterocarpus,Pterocarpus_rohrii,352,32.2,1,0,10.63356253,n
euphorbiaceae,hura,Hura_crepitans,354,13.1,8,0,13.49935181,NA
leguminosae,pterocarpus,Pterocarpus_rohrii,355,15.3,10,0,14.0413817,n
leguminosae,lonchocarpus,Lonchocarpus_pentaphyllus,356,15.6,1,0,16.48838912,NA
meliaceae,guarea,Guarea_bullata,361,34.7,1,0,23.7188642,NA
rubiaceae,simira,Simira_maxonii,362,46.9,1,0,16.92818092,NA
apocynaceae,rauvolfia,Rauvolfia_purpurascens,364,30,1,0,23.78226115,NA
cecropiaceae,cecropia,Cecropia_obtusifolia,365,25,6,0,23.09181351,c
rubiaceae,warscewiczia,Warscewiczia_coccinea,368,16.5,1,0,20.23804066,NA
boraginaceae,cordia,Cordia_alliodora,375,46.9,9,0,21.62634241,c
boraginaceae,cordia,Cordia_alliodora,377,43.8,9,1,11.29073587,c
boraginaceae,cordia,Cordia_alliodora,378,34,9,0,11.82043777,c
boraginaceae,cordia,Cordia_alliodora,379,22.3,9,0,16.23106801,c
boraginaceae,cordia,Cordia_alliodora,380,30.5,9,1,15.54288806,c
boraginaceae,cordia,Cordia_alliodora,381,48.5,9,1,10.88730264,c
boraginaceae,cordia,Cordia_alliodora,382,40.1,9,1,5.717907386,c
caricaceae,jacaratia,Jacaratia_dolichaula,383,5.2,9,0,20.51048471,NA
moraceae,brosimum,Brosimum_lactescens,384,25,9,0,22.89576064,NA
boraginaceae,cordia,Cordia_alliodora,385,49.5,9,0,24.343067,c
boraginaceae,cordia,Cordia_alliodora,387,36.3,9,0,34.75600678,c
boraginaceae,cordia,Cordia_alliodora,388,38,9,1,36.21238799,c
boraginaceae,cordia,Cordia_alliodora,389,32.3,9,0,40.55033896,c
boraginaceae,cordia,Cordia_alliodora,392,36.4,9,0,30.0278116,c
boraginaceae,cordia,Cordia_alliodora,393,53,9,0,31.63938227,c
boraginaceae,cordia,Cordia_alliodora,394,21.9,9,0,26.68147404,c
rubiaceae,simira,Simira_maxonii,395,39,9,0,33.1007703,NA
boraginaceae,cordia,Cordia_alliodora,396,23.7,9,0,31.02071836,c
boraginaceae,cordia,Cordia_alliodora,398,15.1,9,0,25.73065249,c
boraginaceae,cordia,Cordia_alliodora,399,28.1,9,0,28.03669876,c
boraginaceae,cordia,Cordia_alliodora,400,14.4,9,0,30.3264012,c
boraginaceae,cordia,Cordia_alliodora,401,45.4,9,1,35.24056785,c
boraginaceae,cordia,Cordia_alliodora,402,22.1,9,0,24.30768662,c
boraginaceae,cordia,Cordia_alliodora,405,29.5,9,0,20.30156194,c
myristicaceae,virola,Virola_sebifera,406,43.5,9,1,19.36546086,n
boraginaceae,cordia,Cordia_alliodora,407,17.9,9,0,17.79468854,c
boraginaceae,cordia,Cordia_alliodora,408,36.4,9,1,15.38184103,c
meliaceae,guarea,Guarea_bullata,409,27,9,0,14.23202439,NA
boraginaceae,cordia,Cordia_alliodora,411,45.5,9,0,17.59851995,c
boraginaceae,cordia,Cordia_alliodora,414,28.3,9,0,15.23110489,c
boraginaceae,cordia,Cordia_alliodora,415,30.5,9,0,12.90926159,c
boraginaceae,cordia,Cordia_alliodora,417,27.5,6,0,31.88128559,c
araliaceae,dendropanax,Dendropanax_arboreus,420,35.4,1,1,46.95716919,NA
boraginaceae,cordia,Cordia_alliodora,423,35.5,9,1,26.15903374,c
boraginaceae,cordia,Cordia_alliodora,427,31.8,9,0,36.48994667,c
boraginaceae,cordia,Cordia_alliodora,428,42.8,9,1,39.01497967,c
boraginaceae,cordia,Cordia_alliodora,430,34.5,9,0,34.91535627,c
moraceae,castilla,Castilla_elastica,432,58,9,0,24.71619189,NA
boraginaceae,cordia,Cordia_alliodora,434,41.5,9,0,32.10555145,c
boraginaceae,cordia,Cordia_alliodora,435,45.5,9,0,28.09970403,c
rubiaceae,warscewiczia,Warscewiczia_coccinea,436,20.5,1,0,32.71498327,NA
boraginaceae,cordia,Cordia_alliodora,438,45.4,9,0,25.54074245,c
malvaceae,hampea,Hampea_appendiculata,441,47.5,4,0,32.9987424,NA
leguminosae,pterocarpus,Pterocarpus_rohrii,442,43,9,0,35.14716037,n
boraginaceae,cordia,Cordia_alliodora,443,50,9,0,35.99195922,c
leguminosae,pentaclethra,Pentaclethra_macroloba,444,82,9,0,44.26554299,NA
moraceae,naucleopsis,Naucleopsis_naga,445,28,9,0,46.12209688,NA
leguminosae,pterocarpus,Pterocarpus_rohrii,446,41,9,0,51.00458533,n
malvaceae,pachira,Pachira_aquatica,452,24.7,4,1,44.40438041,NA
leguminosae,pterocarpus,Pterocarpus_rohrii,461,42.8,9,0,47.65650378,n
combretaceae,terminalia,Terminalia_oblonga,462,31,9,1,40.64935042,NA
rubiaceae,simira,Simira_maxonii,463,45,9,0,33.09060874,NA
leguminosae,lonchocarpus,Lonchocarpus_pentaphyllus,467,8.6,9,0,48.61409281,NA
leguminosae,inga,Inga_paterno,468,42.5,7,1,37.08630545,NA
bombacaceae,ocotea,Ocotea_cernua,471,50.4,4,0,46.96647741,NA
bombacaceae,ocotea,Ocotea_cernua,471,50.4,8,1,33.66441295,NA
sapotaceae,chrysophyllum,Chrysophyllum_venezuelanense,472,16.6,8,0,26.73569784,NA
sapotaceae,chrysophyllum,Chrysophyllum_venezuelanense,472,16.6,10,0,1.003194896,NA
leguminosae,lonchocarpus,Lonchocarpus_pentaphyllus,473,13.4,7,0,20.39351517,NA
sapotaceae,chrysophyllum,Chrysophyllum_venezuelanense,474,14.8,7,0,16.04060609,NA
sapotaceae,chrysophyllum,Chrysophyllum_venezuelanense,475,14.1,7,0,15.72547843,NA
boraginaceae,cordia,Cordia_alliodora,477,52,7,1,8.733479795,c
boraginaceae,cordia,Cordia_dwyeri,478,27.2,7,0,18.89734536,NA
nyctaginaceae,neea,Neea_amplifolia,480,10.7,7,0,11.04042631,n
tiliaceae,apeiba,Apeiba_membranacea,481,62.8,7,1,11.44362569,c
lauraceae,ocotea,Ocotea_hartshorniana,482,77,7,0,2.271687094,NA
rubiaceae,posoqueria,Posoqueria_grandiflora,483,5.1,5,0,7.977534724,NA
leguminosae,pterocarpus,Pterocarpus_rohrii,491,34.1,7,0,8.968708567,n
myristicaceae,virola,Virola_koschnyi,493,58.5,7,0,24.02927069,NA
leguminosae,pentaclethra,Pentaclethra_macroloba,494,64.5,7,0,16.90273863,NA
nyctaginaceae,neea,Neea_amplifolia,498,12,6,0,24.64786384,n
combretaceae,terminalia,Terminalia_oblonga,500,87,7,1,7.915262142,NA
euphorbiaceae,alchornea,Alchornea_costaricensis,502,54,4,1,53.7172086,c
euphorbiaceae,alchornea,Alchornea_costaricensis,502,54,8,0,60.43985522,c
euphorbiaceae,alchornea,Alchornea_costaricensis,503,93.5,4,1,61.13413531,c
euphorbiaceae,alchornea,Alchornea_costaricensis,503,93.5,8,1,62.77287001,c
leguminosae,lonchocarpus,Lonchocarpus_oliganthus,526,17.8,4,0,43.13952248,NA
meliaceae,guarea,Guarea_rhopalocarpa,527,14.5,4,0,49.52520974,NA
leguminosae,lonchocarpus,Lonchocarpus_oliganthus,529,32,4,0,49.05762428,NA
combretaceae,terminalia,Terminalia_oblonga,532,90,4,0,32.98805996,NA
euphorbiaceae,alchornea,Alchornea_costaricensis,533,98.5,4,1,45.56052019,c
euphorbiaceae,alchornea,Alchornea_costaricensis,533,98.5,8,0,58.76722292,c
anacardiaceae,spondias,Spondias_radlkoferi,534,25.4,4,0,35.5757572,c
moraceae,ficus,Ficus_maxima,535,64.5,4,1,36.52626726,NA
moraceae,ficus,Ficus_maxima,535,64.5,8,0,51.61248753,NA
leguminosae,inga,Inga_paterno,536,36,4,0,34.03838128,NA
leguminosae,inga,Inga_paterno,536,36,8,0,49.50756659,NA
leguminosae,pterocarpus,Pterocarpus_rohrii,538,31.6,4,0,38.96093556,n
leguminosae,pterocarpus,Pterocarpus_rohrii,538,31.6,8,0,35.88466329,n
euphorbiaceae,alchornea,Alchornea_costaricensis,539,61.5,4,0,19.38287904,c
euphorbiaceae,alchornea,Alchornea_costaricensis,539,61.5,8,0,37.16535994,c
burseraceae,protium,Protium_sp,545,16.3,4,0,25.57669447,NA
burseraceae,protium,Protium_sp,545,16.3,8,0,26.00447998,NA
rubiaceae,pentagonia,Pentagonia_donnell-smithii,546,9.3,4,0,23.55591221,NA
rubiaceae,pentagonia,Pentagonia_donnell-smithii,546,9.3,8,0,27.80344276,NA
malvaceae,goethalsia,Goethalsia_meiantha,548,69.5,4,0,29.07032164,NA
malvaceae,goethalsia,Goethalsia_meiantha,548,69.5,8,0,21.92244921,NA
leguminosae,pterocarpus,Pterocarpus_rohrii,549,18.5,4,0,29.39589087,n
leguminosae,pterocarpus,Pterocarpus_rohrii,549,18.5,8,1,22.08890534,n
leguminosae,pterocarpus,Pterocarpus_rohrii,550,41.7,4,0,30.37796734,n
leguminosae,pterocarpus,Pterocarpus_rohrii,550,41.7,8,1,21.0454268,n
meliaceae,guarea,Guarea_rhopalocarpa,553,21.3,4,0,36.47824694,NA
meliaceae,guarea,Guarea_rhopalocarpa,553,21.3,8,0,16.19958701,NA
boraginaceae,cordia,Cordia_dwyeri,554,24.7,4,0,33.70636883,NA
boraginaceae,cordia,Cordia_dwyeri,554,24.7,6,0,41.48242743,NA
boraginaceae,cordia,Cordia_dwyeri,554,24.7,8,0,20.52223329,NA
leguminosae,pentaclethra,Pentaclethra_macroloba,555,80.3,4,0,37.26092323,NA
leguminosae,pentaclethra,Pentaclethra_macroloba,555,80.3,6,1,37.87398867,NA
leguminosae,pentaclethra,Pentaclethra_macroloba,555,80.3,8,1,19.17911466,NA
boraginaceae,cordia,Cordia_alliodora,556,11.9,4,0,43.55321458,c
boraginaceae,cordia,Cordia_alliodora,556,11.9,6,0,33.80790932,c
boraginaceae,cordia,Cordia_alliodora,556,11.9,8,0,15.8150934,c
leguminosae,inga,Inga_paterno,558,49.2,4,0,38.71840002,NA
leguminosae,inga,Inga_paterno,558,49.2,8,0,22.57427627,NA
phyllanthaceae,hyeronima,Hyeronima_alchorneoides,560,125,4,0,55.99009198,c
phyllanthaceae,hyeronima,Hyeronima_alchorneoides,560,125,6,1,32.50293716,c
salicaceae,casearia,Casearia_corymbosa,563,46.5,6,1,17.62553917,NA
salicaceae,casearia,Casearia_corymbosa,564,24.5,6,0,21.94416048,NA
boraginaceae,cordia,Cordia_alliodora,568,21.3,6,1,14.56611876,c
boraginaceae,cordia,Cordia_alliodora,570,48.9,6,0,12.03158733,c
anacardiaceae,spondias,Spondias_radlkoferi,571,20.8,6,0,13.51051825,c
boraginaceae,cordia,Cordia_alliodora,578,21.8,6,0,36.85504031,c
combretaceae,terminalia,Terminalia_oblonga,579,80,6,1,37.63211535,NA
leguminosae,erythrina,Erythrina_cochleata,582,54,6,0,4.473351857,NA
boraginaceae,cordia,Cordia_alliodora,584,66.5,6,0,4.161102364,c
anacardiaceae,spondias,Spondias_radlkoferi,585,28.4,6,0,2.448174759,c
leguminosae,pterocarpus,Pterocarpus_officinalis,587,90,4,0,35.20606908,NA
malvaceae,luehea,Luehea_seemannii,588,63,4,0,29.35006133,c
burseraceae,protium,Protium_panamense,589,51.8,4,0,35.25785728,n
leguminosae,lonchocarpus,Lonchocarpus_oliganthus,590,35.5,4,0,23.92679669,NA
leguminosae,pterocarpus,Pterocarpus_officinalis,593,59.5,4,0,37.98253414,NA
leguminosae,erythrina,Erythrina_cochleata,598,55,4,1,16.63136795,NA
leguminosae,pterocarpus,Pterocarpus_rohrii,599,40.3,4,0,14.18042665,n
leguminosae,pterocarpus,Pterocarpus_rohrii,601,47.4,4,1,11.65078967,n
boraginaceae,cordia,Cordia_alliodora,602,66.5,4,0,18.09489707,c
anacardiaceae,spondias,Spondias_radlkoferi,603,16.8,4,0,10.9,c
boraginaceae,cordia,Cordia_alliodora,604,16.5,4,0,7.729074977,c
moraceae,castilla,Castilla_elastica,605,57.5,4,0,9.125486288,NA
hernandiaceae,hernandia,Hernandia_stenura,608,39.2,4,0,0.30016662,NA
leguminosae,pentaclethra,Pentaclethra_macroloba,609,81.5,4,0,1.743932338,NA
sapotaceae,pouteria,Pouteria_glomerulata,613,37.3,4,0,22.52826003,NA
sapotaceae,pouteria,Pouteria_glomerulata,613,37.3,8,1,31.92089879,NA
sabiaceae,meliosma,Meliosma_donnell-smithii,614,11.2,4,0,25.54295206,NA
sabiaceae,meliosma,Meliosma_donnell-smithii,614,11.2,8,0,25.61807642,NA
lecythidaceae,lecythis,Lecythis_ampla,615,7,1,0,5.278822169,NA
hernandiaceae,hernandia,Hernandia_didymantha,616,62.9,4,0,22.66328308,NA
rubiaceae,warscewiczia,Warscewiczia_coccinea,617,23.9,4,0,25.24085973,NA
malvaceae,goethalsia,Goethalsia_meiantha,618,48.7,4,0,33.64098245,NA
malvaceae,goethalsia,Goethalsia_meiantha,618,48.7,6,0,36.66684478,NA
malvaceae,goethalsia,Goethalsia_meiantha,618,48.7,8,0,34.04451599,NA
arecaceae,welfia,Welfia_regia,621,21.2,6,0,28.40090501,NA
araliaceae,dendropanax,Dendropanax_arboreus,622,48.7,6,1,31.99363306,NA
sapotaceae,pouteria,Pouteria_glomerulata,628,19.9,6,0,20.45109366,NA
capparaceae,capparis,Capparis_pittieri,630,15.5,6,0,19.09289616,NA
tiliaceae,apeiba,Apeiba_membranacea,638,76.3,4,0,54.19728776,c
boraginaceae,cordia,Cordia_alliodora,639,76.3,4,0,55.5092758,c
boraginaceae,cordia,Cordia_alliodora,642,60.5,4,0,35.50108167,c
boraginaceae,cordia,Cordia_alliodora,643,25.1,4,0,34.28232927,c
leguminosae,inga,Inga_ruiziana,645,57.8,4,0,30.84744398,NA
apocynaceae,rauvolfia,Rauvolfia_purpurascens,647,28.9,4,0,25.60450351,NA
leguminosae,pentaclethra,Pentaclethra_macroloba,649,103,4,1,15.63090848,NA
leguminosae,pentaclethra,Pentaclethra_macroloba,651,70,4,0,22.76589774,NA
sapotaceae,pouteria,Pouteria_glomerulata,652,38.5,4,1,21.6318885,NA
sterculiaceae,theobroma,Theobroma_simiarum,663,14.8,1,0,4.866606498,NA
sterculiaceae,theobroma,Theobroma_simiarum,664,14.8,1,0,14.81303253,NA
apocynaceae,aspidosperma,Aspidosperma_spruceanum,665,9,1,0,17.45111931,NA
sabiaceae,meliosma,Meliosma_donnell-smithii,667,5.5,9,0,40.13896301,NA
