Species,Foraged
Sloanea_laevigata,0
Ardisia_sp,1
Neea_psychotriodes,0
Cojoba_catenata,0
Zigia_gigantifoliola,0
Albizia_adinocephala,1
Tapirira_myriantha,1
Bravaisia_integerrima,0
Unonopsis_pittieri,0
Swartzia_cubensis,0
Swartzia_cubensis,0
Mabea_occidentalis,0
Mabea_occidentalis,0
Conceveiba_pleiostemona,0
Conceveiba_pleiostemona,1
Vochysia_guatemalensis,0
Sterculia_recordiana,0
Pachira_aquatica,1
Inga_acuminata,0
Macrolobium_costaricense,1
Cojoba_catenata,0
Rhodostemonodaphne_kunthiana,1
Guarea_sp,0
Cryosophila_warscewiczii,0
Sterculia_recordiana,0
Sterculia_recordiana,0
Geonoma_longevaginata,0
Tapirira_myriantha,0
Bactris_coloradensis,0
Geonoma_longevaginata,0
Bactris_coloradensis,0
Casearia_arborea,0
Hymenolobium_mesoamericanum,0
Calyptrogyne_ghiesbreghtiana,0
Welfia_regia,0
Swartzia_cubensis,0
Swartzia_cubensis,0
Hyeronima_alchorneoides,0
Erythroxylon_sp,0
Synecanthus_warscewiczianus,0
Cyclanthus_bipartitus,0
Virola_sebifera,1
Sloanea_medusula,0
Sloanea_medusula,0
Xylosma_chlorantha,0
Tabebuia_rosea,0
Tabebuia_rosea,0
Inga_alba,0
Inga_alba,0
Drypetes_variabilis,0
Drypetes_variabilis,1
Durio_zibethianus,0
Jacaranda_copaia,0
Jacaranda_copaia,1
Calophyllum_brasiliense,0
Erythrina_cochleata,0
Colubrina_spinosa,0
Terminalia_oblonga,1
Cojoba_valerioi,0
Cojoba_valerioi,0
Stryphnodendron_microstachyum,0
Stryphnodendron_microstachyum,0
Rauvolfia_purpurascens,0
Clarisia_mexicana,0
Brosimum_lactescens,0
Hampea_appendiculata,0
Ormosia_tenuivalvis,0
Lacistema_aggregatum,0
Cecropia_obtusifolia,0
Jacaratia_dolichaula,0
Hymenolobium_mesoamericanum,0
Ormosia_velutina,0
Chrysophyllum_venezuelanense,0
Vochysia_ferruginea,0
Pradosia_atroviolacea,0
Virola_koschnyi,1
Cassia_papillosa,0
Terminalia_amazonia,0
Trophis_racemosa,0
Terminalia_amazonia,0
Castilla_elastica,0
Pouteria_sp,1
Clarisia_mexicana,1
Quararibea_parvifolia,0
Terminalia_amazonia,0
Terminalia_oblonga,0
Terminalia_oblonga,1
Inga_alba,0
Inga_alba,0
Symplocos_sp,1
Symplocos_sp,1
Clarisia_mexicana,0
Clarisia_mexicana,1
Clarisia_mexicana,0
Clarisia_mexicana,1
Randia_genipoides,0
Bunchosia_ocellata,0
Sapium_glandulosum,0
Sapium_glandulosum,0
Cassia_papillosa,0
Cassia_papillosa,0
Cordia_dwyeri,0
Spondias_radlkoferi,0
Eugenia_sp,0
Cecropia_insignis,0
Neea_psychotriodes,0
Symplocos_sp,0
Symplocos_sp,0
Inga_leiocalycina,0
Inga_leiocalycina,0
Inga_thibaudiana,0
Macrolobium_costaricense,0
Macrolobium_costaricense,0
Minquartia_guianensis,1
Vochysia_guatemalensis,0
Ceiba_pentandra,0
Abarema_macradenia,0
Zigia_longifolia,0
Celtis_schippii,0
Lozania_pittieri,0
Lacistema_aggregatum,0
Abarema_macradenia,0
Abarema_macradenia,0
Balizia_elegans,0
Zigia_gigantifoliola,0
Inga_ruiziana,0
Inga_sertulifera,0
Talauma_sambuensis,0
Erythrina_cochleata,0
Lonchocarpus_oliganthus,0
Cassia_papillosa,0
Ardisia_granatensis,0
Sterculia_recordiana,0
Sterculia_recordiana,0
Aegiphila_falcata,1
Rinorea_deflexiflora,1
Posoqueria_latifolia,1
Randia_grandifolia,0
Psychotria_sp,0
Faramea_multiflora,0
Alchorneopsis_floribunda,1
Virola_koschnyi,0
Randia_grandifolia,0
Lacunaria_panamensis,0
Simira_maxonii,0
Ficus_turrialbano,1
Socratea_exorrhiza,0
Bactris_sp,0
Geonoma_longevaginata,0
Protium_costaricense,0
Meliosma_donnell-smithii,0
Guarea_rhopalocarpa,0
Guarea_bullata,0
Guarea_rhopalocarpa,0
Zigia_gigantifoliola,0
Guarea_bullata,0
Simarouba_amara,0
Carapa_guianensis,0
Tabebuia_guayacan,0
Tabebuia_guayacan,0
Warscewiczia_coccinea,0
Pouteria_glomerulata,0
Ocotea_cernua,0
Richeria_dressleri,1
Hyeronima_alchorneoides,0
Pouteria_campechiana,0
Pouteria_campechiana,0
Clarisia_mexicana,0
Ardisia_granatensis,1
Ocotea_hartshorniana,0
Miconia_affinis,0
Pentagonia_donnell-smithii,0
Hampea_appendiculata,0
Compsoneura_sprucei,0
Compsoneura_sprucei,0
Simarouba_amara,0
Desmopsis_microcarpa,0
Ardisia_nigropunctata,0
Ardisia_nigropunctata,0
Erythroxylon_sp,0
Chrysophyllum_venezuelanense,0
Chrysophyllum_venezuelanense,0
Ardisia_sp,0
Ardisia_sp,0
Ardisia_auriculata,0
Ardisia_auriculata,0
Chrysophyllum_venezuelanense,0
Richeria_dressleri,0
Richeria_dressleri,0
Cordia_dwyeri,0
Aegiphila_falcata,0
Alchornea_sp,0
Tovomita_weddelliana,0
Ocotea_hartshorniana,1
Ocotea_hartshorniana,0
